time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.121549907480812e-07,-4.559915736184734e-08,10.000826500304917,6.282851918905415,0.0003198360757208363,0.0,-2.655569505823465e-05,-1.369163895678698e-05,0.027549434059245134,-0.020004683039096173,0.014290430892426353,0.0,412.8985251485912,414.1570357244745,413.9030050616596,412.13907269466597
0.12000000000000001,-1.2452398209586872e-05,-1.3290142845933266e-05,10.007022490553714,6.281504771067901,0.0010521913090659751,0.0,-0.00046565780199876283,-0.0005668603043563335,0.17897101305351906,-0.027861928142707278,0.007671924321131159,0.0,453.18515109013447,452.65282262451785,453.2483769741664,452.6165519468126
0.18,-6.292126466165556e-05,-8.474832708949574e-05,10.018984820097762,6.279985589096302,0.002327891977128793,0.0,-0.0013055988163476555,-0.00196342554820963,0.21976549627233546,-0.020667267850275235,0.03982460623566897,0.0,416.7594952060179,419.55994731002625,416.99490131782005,417.6226445074212
0.23999999999999996,-0.00020537923732195134,-0.0002812391337906139,10.037681884523575,6.279291940867019,0.004393451841472995,0.0,-0.0037012507741510164,-0.004691698282619461,0.40342131003120746,0.0022681790498220583,0.02052858652903955,0.0,463.34584286255887,461.8270438979243,462.0254152940785,463.82993248041345
0.3,-0.0005329250898137958,-0.0006508257454535921,10.067017820438535,6.27949904726508,0.005772076164901385,0.0,-0.007363922520098499,-0.007608163684973309,0.5743717016014863,0.00571982679893074,0.02747180216180946,0.0,458.6612538826071,459.21228827358993,459.04849979795677,459.3222060010225
0.36000000000000004,-0.0011171758621810232,-0.001191928000624984,10.107223438183484,6.279997845073442,0.0076001602861346385,0.0,-0.012311937091645355,-0.010379032129669764,0.7657054815467724,0.013052304578875257,0.03587164588052486,0.0,464.41073271382953,465.06928235847096,465.67830561244153,466.25131990306994
0.4200000000000001,-0.0020383064343152237,-0.0018838103524703763,10.15825673427039,6.280861157897828,0.010113976895606669,0.0,-0.01865582415455772,-0.012590747775612504,0.9352787070277315,0.016935298349560753,0.05182399388966212,0.0,458.94668898235693,460.21177477978097,458.4088020913481,458.7170976345054
0.48000000000000015,-0.003369360843267012,-0.002681022794716642,10.216488014283723,6.282298690363756,0.013540089116386156,0.0,-0.02603267607488294,-0.01386039135655529,1.0057008464930588,0.03521887708678152,0.06598305352792821,0.0,427.3420464241828,428.5494544492818,427.9299337220841,429.48337294807385
0.5400000000000001,-0.005201601535740559,-0.0035221190561252574,10.27811172870524,0.0009968566175846405,0.017219207188071017,0.0,-0.03540067095588735,-0.01398797923215085,1.0483791160245064,0.02235948939773587,0.049816755624855706,0.0,419.7245538265343,418.3222166929923,420.2948488797979,419.17938362376475
0.6000000000000002,-0.007725349482808537,-0.004333460596502931,10.345835579106012,0.0019926515707942016,0.02034831651395308,0.0,-0.04906137466111096,-0.01292320951423188,1.2089197092867376,0.001416180908569705,0.05645328884889382,0.0,455.81626190642,456.3479318522548,458.4555954897408,456.78862962847984
0.6600000000000003,-0.011128016382311106,-0.005064690425471401,10.422591990286785,0.0022948632831729654,0.023688435729963153,0.0,-0.0647209901161387,-0.011429633791568968,1.349463458153347,0.011441076486883396,0.054051975816428274,0.0,451.2422318017459,451.0504089729362,450.6306166520514,451.4400877089075
0.7200000000000003,-0.015543211975767628,-0.005697567442349789,10.507779792244914,0.002684010171243756,0.02726745155972221,0.0,-0.08281847301640306,-0.00960590670962067,1.4899471846480805,-0.0059439733637869615,0.06898438920857235,0.0,451.18890024742444,452.3951387090816,451.7711521255029,450.367260379415
0.7800000000000004,-0.021248148004880972,-0.006205009407423033,10.605729666229578,0.0025593352104271716,0.030843144103214648,0.0,-0.10785585291138099,-0.007339805082245668,1.774635305094506,0.004709025297825398,0.023855509721151066,0.0,496.12011512396595,492.79754101248994,493.6247445671346,494.4102204805648
0.8400000000000004,-0.02837805491922732,-0.006590231038238225,10.715711048719294,0.002641562436815015,0.031972454727558386,0.0,-0.12993872215465901,-0.005481298956995778,1.8912194759556789,-0.006321106181635397,0.006139973913291056,0.0,445.60468265034507,444.1541920379085,446.19300510878816,445.29164955617927
0.9000000000000005,-0.036875709277553084,-0.00686275492322132,10.833401336461833,0.002376914639885541,0.031972448033529055,0.0,-0.15333381738641833,-0.0036379309359340127,2.0315491763948366,-0.0008403075294318243,-0.01658453673404027,0.0,454.2554468773699,452.42963023063055,452.592057082767,453.03301620026235
0.9600000000000005,-0.04687093345846035,-0.007021954763426024,10.96260991279754,0.001980372850024281,0.031461027744065895,0.0,-0.17973823340681286,-0.0016927954445864267,2.274952927703424,-0.02181196568819787,0.004050016978189914,0.0,482.97661657295134,484.530410132832,485.44088183330473,483.8648250700452
1.0200000000000005,-0.05838431089712567,-0.007083401726058003,11.104569231698536,0.0005780933773973373,0.03141467624630234,0.0,-0.20404397111355133,-0.0005104619463783819,2.4566499250851095,-0.026687789216793954,-0.012778328034668,0.0,467.7919606702702,466.4797824058024,467.18517942295045,466.80484193811895
1.0800000000000005,-0.07127516094324153,-0.0071082001883224265,11.255010442972821,6.282158499449004,0.030307087343858008,0.0,-0.22555305380018686,-0.00047998227191827793,2.5578376150474442,-0.02686973525833019,-0.03334736748175178,0.0,443.428671541582,441.73577508821654,443.83196656388384,443.8168736490641
